Drug_name	approved
10,11-Dimethoxy-4-Methyldibenzo[C,F]-2,7-Naphthyridine-3,6-Diamine	Not approved
10-(4-Dimethylamino-5-Hydroxy-6-Methyl-Tetrahydro-Pyran-2-Yloxy)-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione	Not approved
105ad7	Not approved
10-Decarboxymethylaclacinomycin A	Not approved
(10e,12z)-Octadecadienoic Acid	Not approved
10-Formyl-5,8,10-Trideazafolic Acid	Not approved
10-Hydroxycamptothecin	Not approved
10-Propargyl-5,8-Dideazafolic Acid	Not approved
(10r)-10-Formyl-5,8,10-Trideazafolic Acid	Not approved
(10r)-10-Methyl-3-(6-Methylpyridin-3-Yl)-9,10,11,12-Tetrahydro-8h-[1,4]Diazepino[5',6':4,5]Thieno[3,2-F]Quinolin-8-One	Not approved
1,10-Phenanthroline	Not approved
1,1,1,3,3,3-Hexafluoro-2-{4-[(2,2,2-Trifluoroethyl)Amino]Phenyl}Propan-2-Ol	Not approved
1,1,1-Trifluoro-3-Acetamido-4-Phenyl Butan-2-One(N-Acetyl-L-Phenylalanyl Trifluoromethyl Ketone)	Not approved
1,1,1-Trifluoro-3-((N-Acetyl)-L-Leucylamido)-4-Phenyl-Butan-2-One(N-Acetyl-L-Leucyl-L-Phenylalanyl Trifluoromethyl Ketone)	Not approved
1,1,1-Trifluoro-3-(Octylthio)Acetone	Not approved
1-{[1-(2-Amino-3-Phenyl-Propionyl)-Pyrrolidine-2-Carbonyl]-Amino}-2-(3-Cyano-Phenyl)-Ethaneboronic Acid	Not approved
1-[1-(3-Aminophenyl)-3-Tert-Butyl-1h-Pyrazol-5-Yl]-3-Naphthalen-1-Ylurea	Not approved
1-[1-(3-Aminophenyl)-3-Tert-Butyl-1h-Pyrazol-5-Yl]-3-Phenylurea	Not approved
1-(1'-{[3-(Methylsulfanyl)-2-Benzothiophen-1-Yl]Carbonyl}Spiro[1-Benzofuran-3,4'-Piperidin]-5-Yl)Methanamine	Not approved
1-[1'-(3-Phenylacryloyl)Spiro[1-Benzofuran-3,4'-Piperidin]-5-Yl]Methanamine	Not approved
1-(1,4-Dimethyl-1,2,3,4-Tetrahydroquinoxalin-6-Yl)Methanamine	Not approved
[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester	Not approved
1,1'-Biphenyl-2-Sulfinic Acid	Not approved
11-Deoxy-Beta-Rhodomycin	Not approved
1-[[(1e)-2-(4-Chlorophenyl)Ethenyl]Sulfonyl]-4-[[1-(4-Pyridinyl)-4-Piperidinyl]Methyl]Piperazine	Not approved
1-{[(1e)-(3-Hydroxy-2-Methyl-5-{[(Trihydroxy-Lambda^5^-Phosphanyl)Oxy]Methyl}Pyridin-4-Yl)Methylidene]Amino}Undecan-2-One	Not approved
1,1'-Hexane-1,6-Diylbis(1h-Imidazole)	Not approved
1-(1-Hydroxy-2,2,6,6-Tetramethylpiperidin-4-Yl)Pyrrolidine-2,5-Dione	Not approved
11-[(Mercaptocarbonyl)Oxy]Undecanoic Acid	Not approved
11-Mercaptoundecanoic Acid	Not approved
[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester	Not approved
1-(1-Methylethyl)-3-Quinolin-6-Yl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Amine	Not approved
1-(1-Phenylcyclopentyl)Methylamine	Not approved
(11r)-10-Acetyl-11-(2,4-Dichlorophenyl)-6-Hydroxy-3,3-Dimethyl-2,3,4,5,10,11-Hexahydro-1h-Dibenzo[B,E][1,4]Diazepin-1-One	Not approved
1-((1r)-1-(Hydroxymethyl)-3-{6-[(3-Phenylpropanoyl)Amino]-1h-Indol-1-Yl}Propyl)-1h-Imidazole-4-Carboxamide	Not approved
1-((1r,2s)-1-{2-[2-(4-Chlorophenyl)-1,3-Benzoxazol-7-Yl]Ethyl}-2-Hydroxypropyl)-1h-Imidazole-4-Carboxamide	Not approved
1-{(1r,2s)-2-Hydroxy-1-[2-(2-Naphthyloxy)Ethyl]Propyl}-1h-Imidazone-4-Carboxamide	Not approved
